timestamp,product,decision,defect_class,confidence
2026-09-05T08:00:00+00:00,TEXTILE-A,PASS,,0.96
2026-09-05T08:02:00+00:00,TEXTILE-A,PASS,,0.96
2026-09-05T08:04:00+00:00,TEXTILE-A,PASS,,0.96
2026-09-05T08:06:00+00:00,TEXTILE-A,PASS,,0.96
2026-09-05T08:08:00+00:00,TEXTILE-A,PASS,,0.96
2026-09-05T08:10:00+00:00,TEXTILE-A,PASS,,0.96
2026-09-05T08:12:00+00:00,TEXTILE-A,PASS,,0.96
2026-09-05T08:14:00+00:00,TEXTILE-A,PASS,,0.96
2026-09-05T08:16:00+00:00,TEXTILE-A,PASS,,0.96
2026-09-05T08:18:00+00:00,TEXTILE-A,PASS,,0.96
2026-09-05T08:20:00+00:00,TEXTILE-A,PASS,,0.96
2026-09-05T08:22:00+00:00,TEXTILE-A,PASS,,0.96
2026-09-05T08:24:00+00:00,TEXTILE-A,PASS,,0.96
2026-09-05T08:26:00+00:00,TEXTILE-A,PASS,,0.96
2026-09-05T08:28:00+00:00,TEXTILE-A,PASS,,0.96
2026-09-05T08:30:00+00:00,TEXTILE-A,PASS,,0.96
2026-09-05T08:32:00+00:00,TEXTILE-A,PASS,,0.96
2026-09-05T08:34:00+00:00,TEXTILE-A,PASS,,0.96
2026-09-05T08:36:00+00:00,TEXTILE-A,PASS,,0.96
2026-09-05T08:38:00+00:00,TEXTILE-A,PASS,,0.96
2026-09-05T08:40:00+00:00,TEXTILE-A,PASS,,0.96
2026-09-05T08:42:00+00:00,TEXTILE-A,PASS,,0.96
2026-09-05T08:44:00+00:00,TEXTILE-A,PASS,,0.96
2026-09-05T08:46:00+00:00,TEXTILE-A,PASS,,0.96
2026-09-05T08:48:00+00:00,TEXTILE-A,PASS,,0.96
2026-09-05T08:50:00+00:00,TEXTILE-A,PASS,,0.96
2026-09-05T08:52:00+00:00,TEXTILE-A,PASS,,0.96
2026-09-05T08:54:00+00:00,TEXTILE-A,PASS,,0.96
2026-09-05T08:56:00+00:00,TEXTILE-A,PASS,,0.96
2026-09-05T08:58:00+00:00,TEXTILE-A,PASS,,0.96
2026-09-05T09:00:00+00:00,TEXTILE-A,PASS,,0.96
2026-09-05T09:02:00+00:00,TEXTILE-A,PASS,,0.96
2026-09-05T09:04:00+00:00,TEXTILE-A,PASS,,0.96
2026-09-05T09:06:00+00:00,TEXTILE-A,PASS,,0.96
2026-09-05T09:08:00+00:00,TEXTILE-A,PASS,,0.96
2026-09-05T09:10:00+00:00,TEXTILE-A,PASS,,0.96
2026-09-05T09:12:00+00:00,TEXTILE-A,PASS,,0.96
2026-09-05T09:14:00+00:00,TEXTILE-A,PASS,,0.96
2026-09-05T09:16:00+00:00,TEXTILE-A,PASS,,0.96
2026-09-05T09:18:00+00:00,TEXTILE-A,PASS,,0.96
2026-09-05T09:20:00+00:00,TEXTILE-A,PASS,,0.96
2026-09-05T09:22:00+00:00,TEXTILE-A,PASS,,0.96
2026-09-05T09:24:00+00:00,TEXTILE-A,PASS,,0.96
2026-09-05T09:26:00+00:00,TEXTILE-A,PASS,,0.96
2026-09-05T09:28:00+00:00,TEXTILE-A,PASS,,0.96
2026-09-05T09:30:00+00:00,TEXTILE-A,PASS,,0.96
2026-09-05T09:32:00+00:00,TEXTILE-A,PASS,,0.96
2026-09-05T09:34:00+00:00,TEXTILE-A,PASS,,0.96
2026-09-05T09:36:00+00:00,TEXTILE-A,PASS,,0.96
2026-09-05T09:38:00+00:00,TEXTILE-A,PASS,,0.96
2026-09-05T09:40:00+00:00,TEXTILE-A,PASS,,0.96
2026-09-05T09:42:00+00:00,TEXTILE-A,PASS,,0.96
2026-09-05T09:44:00+00:00,TEXTILE-A,PASS,,0.96
2026-09-05T09:46:00+00:00,TEXTILE-A,PASS,,0.96
2026-09-05T09:48:00+00:00,TEXTILE-A,PASS,,0.96
2026-09-05T09:50:00+00:00,TEXTILE-A,PASS,,0.96
2026-09-05T09:52:00+00:00,TEXTILE-A,PASS,,0.96
2026-09-05T09:54:00+00:00,TEXTILE-A,PASS,,0.96
2026-09-05T09:56:00+00:00,TEXTILE-A,PASS,,0.96
2026-09-05T09:58:00+00:00,TEXTILE-A,PASS,,0.96
